Title,Note,URL,Comment
Fat Mermaid,drag queens bingo night 6pm on,https://www.google.com/maps/place/Fat+Mermaid/data=!4m2!3m1!1s0x0:0x1feb36eda8b2ad4a,
Deus Ex Machina - Temple of Enthusiasm,live music / DJ,https://www.google.com/maps/place/Deus+Ex+Machina+-+Temple+of+Enthusiasm/data=!4m2!3m1!1s0x0:0x661ecdda57ac3f15,
Sand Bar,,https://www.google.com/maps/place/Sand+Bar/data=!4m2!3m1!1s0x2dd238767dbdb553:0x2d4a563faec2b492,
XBar Canggu,pregame,https://www.google.com/maps/place/XBar+Canggu/data=!4m2!3m1!1s0x2dd24787cbaeaf15:0x8c49cb67b16f899f,
Nude,"very good brunch, has AC",https://www.google.com/maps/place/Nude/data=!4m2!3m1!1s0x2dd24781f263a267:0xdfc9089310a1c2d2,
Pels Supershop,"breakfast, pancakes",https://www.google.com/maps/place/Pels+Supershop/data=!4m2!3m1!1s0x2dd2477942d4f197:0xe3383a7059928b26,
Nalu Bowls,popular place for açaí bowls,https://www.google.com/maps/place/Nalu+Bowls/data=!4m2!3m1!1s0x2dd238770036baf5:0xe2ef6a950c517edf,
Leke Leke Waterfall,,https://www.google.com/maps/place/Leke+Leke+Waterfall/data=!4m2!3m1!1s0x2dd220d6da4ff65d:0x7b898588ca3ea351,
Sangeh Monkey Forest,,https://www.google.com/maps/place/Sangeh+Monkey+Forest/data=!4m2!3m1!1s0x2dd223492c21e6a3:0xb715386c995db0c2,
Jatiluwih Rice Terrace,less touristy rice terrace ,https://www.google.com/maps/place/Jatiluwih+Rice+Terrace/data=!4m2!3m1!1s0x2dd227ab020cd7fb:0x2f0f875ff3e6839a,
SATUSATU COFFEE COMPANY,recommended by Paulina,https://www.google.com/maps/place/SATUSATU+COFFEE+COMPANY/data=!4m2!3m1!1s0x2dd2477ddef07723:0xe4b94984490ec9b8,
The Avocado Factory,,https://www.google.com/maps/place/The+Avocado+Factory/data=!4m2!3m1!1s0x2dd23879c172aadf:0xf4d51b130959d687,
Matcha Cafe Bali,,https://www.google.com/maps/place/Matcha+Cafe+Bali/data=!4m2!3m1!1s0x2dd24782274743ff:0x7cb9088236314042,
Alas Harum Bali,,https://www.google.com/maps/place/Alas+Harum+Bali/data=!4m2!3m1!1s0x2dd2227ee0628013:0xf443506a00fa75f3,
Bayan Ancient Tree,,https://www.google.com/maps/place/Bayan+Ancient+Tree/data=!4m2!3m1!1s0x2dd226ab6eeb8da9:0xac4a15b5f28f1069,
Tukad Cepung Waterfall,,https://www.google.com/maps/place/Tukad+Cepung+Waterfall/data=!4m2!3m1!1s0x2dd21ba0481caa43:0xbd3a446ae88503f,
