Title,Note,URL,Comment
La Soplaera Waterfall,,https://www.google.com/maps/place/La+Soplaera+Waterfall/data=!4m2!3m1!1s0x8c02d34802a7d7d3:0xdacd7aafe51338d8,
Mirador de Guajataca,,https://www.google.com/maps/place/Mirador+de+Guajataca/data=!4m2!3m1!1s0x8c02ea8a80b9095b:0x30a0218c5ed3b8f9,
Cueva Ventana,,https://www.google.com/maps/place/Cueva+Ventana/data=!4m2!3m1!1s0x8c02de9503ef96bb:0x4d5b3c2239523ddf,
Cañón San Cristóbal Para La Naturaleza,,https://www.google.com/maps/place/Ca%C3%B1%C3%B3n+San+Crist%C3%B3bal+Para+La+Naturaleza/data=!4m2!3m1!1s0x8c03370ece172761:0x94208302cf1e744f,
La Sombra (Longanizas Doña María),,https://www.google.com/maps/place/La+Sombra+(Longanizas+Do%C3%B1a+Mar%C3%ADa)/data=!4m2!3m1!1s0x8c0330a21024ce7f:0x71501877e5efb32f,
Moncho Pan Panadería,,https://www.google.com/maps/place/Moncho+Pan+Panader%C3%ADa/data=!4m2!3m1!1s0x8c036816b94cf8e1:0x8a8d3cef39baca14,
Cerro Las Tetas,,https://www.google.com/maps/place/Cerro+Las+Tetas/data=!4m2!3m1!1s0x8c034a095044c82b:0x1c1d0904ebda9294,
Cerro de Punta Trailhead,,https://www.google.com/maps/place/Cerro+de+Punta+Trailhead/data=!4m2!3m1!1s0x8c0329c6f24be2ff:0x2cf49b7d8a7def46,
Reserva Marina La Cueva del Indio,,https://www.google.com/maps/place/Reserva+Marina+La+Cueva+del+Indio/data=!4m2!3m1!1s0x8c02e1bf646927af:0xbdf404b7618355d1,
Café Tres Picachos,,https://www.google.com/maps/place/Caf%C3%A9+Tres+Picachos/data=!4m2!3m1!1s0x8c0329045a732e45:0xa9925ae2a7a73a4a,
Hacienda Tres Ángeles,,https://www.google.com/maps/place/Hacienda+Tres+%C3%81ngeles/data=!4m2!3m1!1s0x8c02d1d546161f8b:0x544428f5eb5d629d,
Sandra Farms Coffee,,https://www.google.com/maps/place/Sandra+Farms+Coffee/data=!4m2!3m1!1s0x8c02d1ddf598d6ff:0x2baa4d88436a3ec9,
Hacienda San Pedro - Cafe,,https://www.google.com/maps/place/Hacienda+San+Pedro+-+Cafe/data=!4m2!3m1!1s0x8c0328f69e3af191:0xacef4b1dc22543e5,
La Vergüenza Condado,,https://www.google.com/maps/place/La+Verg%C3%BCenza+Condado/data=!4m2!3m1!1s0x8c036fcada78554d:0x28d3ec17f070fb58,
Ocean Lab Brewing Co.,"draft beer, local style food",https://www.google.com/maps/place/Ocean+Lab+Brewing+Co./data=!4m2!3m1!1s0x8c0365cd24844991:0xf2090e97e2fc8446,
Playa de Piñones,restaurants and smaller sellers of local food while by the beach. There are a couple that if waves are good you could sit at mini pools that form around there,https://www.google.com/maps/place/Playa+de+Pi%C3%B1ones/data=!4m2!3m1!1s0x8c0365a0d8d1758d:0x4fc2d816f7382e32,
La Casita Blanca,like walking into grandma’s house,https://www.google.com/maps/place/La+Casita+Blanca/data=!4m2!3m1!1s0x8c036f5372d88091:0x1411b3c260629a6c,
Dónde Olga Bar & Restaurante,,https://www.google.com/maps/place/D%C3%B3nde+Olga+Bar+%26+Restaurante/data=!4m2!3m1!1s0x8c036448e3b3eb0f:0xa2264beda1cce922,
