Title,Note,URL,Comment
Eiscafe Banco,,https://www.google.com/maps/place/Eiscafe+Banco/data=!4m2!3m1!1s0x4799db36195ae265:0xa91f4b123496a00e,
Königstraße,,https://www.google.com/maps/place/K%C3%B6nigstra%C3%9Fe/data=!4m2!3m1!1s0x4799db35c031d12b:0x72f680675eb9985a,
Sepulchral Chapel on Württemberg hill,,https://www.google.com/maps/place/Sepulchral+Chapel+on+W%C3%BCrttemberg+hill/data=!4m2!3m1!1s0x4799c430e83c55d9:0x5c2803295539880f,
Schlossplatz Stuttgart,,https://www.google.com/maps/place/Schlossplatz+Stuttgart/data=!4m2!3m1!1s0x4799db35a609056f:0x816f73494c40723a,
Schillerplatz,,https://www.google.com/maps/place/Schillerplatz/data=!4m2!3m1!1s0x4799db358f1cc33f:0x6fb5727358673378,
Stadtbibliothek am Mailänder Platz,,https://www.google.com/maps/place/Stadtbibliothek+am+Mail%C3%A4nder+Platz/data=!4m2!3m1!1s0x4799c4b558133793:0xa04d3a38f94639aa,
Porsche Museum,,https://www.google.com/maps/place/Porsche+Museum/data=!4m2!3m1!1s0x4799da8732ced9e1:0x3c80648eb55f7987,
Mercedes-Benz Museum,,https://www.google.com/maps/place/Mercedes-Benz+Museum/data=!4m2!3m1!1s0x4799c4feda1ddf91:0xc166f4f1bffb4b94,
Domaine Pierre Adam | Vins d'Alsace,no reservations required ,https://www.google.com/maps/place/Domaine+Pierre+Adam+%7C+Vins+d'Alsace/data=!4m2!3m1!1s0x4791612826e007df:0x68bf17cff936ea47,
La Petite Venise,,https://www.google.com/maps/place/La+Petite+Venise/data=!4m2!3m1!1s0x479165ef5006a63d:0xe758095d72e39015,
Colmar,,"https://www.google.com/maps/search/48.0793549,7.3585224",
Kaysersberg-Vignoble,,"https://www.google.com/maps/search/48.1388931,7.2640228",
Galleria Vittorio Emanuele II,,https://www.google.com/maps/place/Galleria+Vittorio+Emanuele+II/data=!4m2!3m1!1s0x47793506fd86b6c3:0x270b9ca95809d416,
P.za del Duomo,,https://www.google.com/maps/place/P.za+del+Duomo/data=!4m2!3m1!1s0x4786c6ae939351df:0xd445dec2978d0e3f,
Grindelwaldstrasse,,"https://www.google.com/maps/search/46.6335845,7.9977036",
Grimselpass,,"https://www.google.com/maps/search/46.561221,8.3372498",
Furkapass,,"https://www.google.com/maps/search/46.5725507,8.4148407",
Sustenpass,,"https://www.google.com/maps/search/46.7292718,8.447113",
Alte Gotthardstrasse,,"https://www.google.com/maps/search/46.6171092,8.5682845",
Nigerpass,,"https://www.google.com/maps/search/46.4571953,11.5858555",
Alpe di Siusi,,https://www.google.com/maps/place/Alpe+di+Siusi/data=!4m2!3m1!1s0x47786d388c2d1fab:0xb3117015b5a492e,
