Title,Note,URL,Comment
Sunda Kelapa,pier with old boats ,https://www.google.com/maps/place/Sunda+Kelapa/data=!4m2!3m1!1s0x2e6a1de45e4ec0a1:0x74808ea94ec1eac4,
Namelaka - Menteng,desserts,https://www.google.com/maps/place/Namelaka+-+Menteng/data=!4m2!3m1!1s0x2e69f40a8d548dc3:0x5de7425df339b136,
BART Jakarta,,https://www.google.com/maps/place/BART+Jakarta/data=!4m2!3m1!1s0x2e69f425ccf42741:0x6c6321ea8a60e155,
Jln Jaksa,nighttime / drinking,https://www.google.com/maps/place/Jln+Jaksa/data=!4m2!3m1!1s0x2e69f42fde815105:0x67b73df24bc8e66e,
Grand Indonesia,,https://www.google.com/maps/place/Grand+Indonesia/data=!4m2!3m1!1s0x2e69f421c2ebd463:0xccfcc89b95aaf1ae,
Fatahillah Square,"people-watching, calm",https://www.google.com/maps/place/Fatahillah+Square/data=!4m2!3m1!1s0x2e6a1dff3f8f5fed:0xf2536e698fceab32,
Alley of Pasar Baru (People market of Pasar Baru),Little India / market / street food,https://www.google.com/maps/place/Alley+of+Pasar+Baru+(People+market+of+Pasar+Baru)/data=!4m2!3m1!1s0x2e69f588c51c2137:0x42580ddc45acf1c9,
Wayang Museum,puppet museum,https://www.google.com/maps/place/Wayang+Museum/data=!4m2!3m1!1s0x2e6a1dff48f259ff:0xfeb6bfd7e15db853,
Flea Market,Jalan Surabaya Flea Market,https://www.google.com/maps/place/Flea+Market/data=!4m2!3m1!1s0x2e69f4150ee4b8b5:0x72b7c459e76f470a,
Jl. Cikini Raya,street food,https://www.google.com/maps/place/Jl.+Cikini+Raya/data=!4m2!3m1!1s0x2e69f43fa6c96e93:0xb7e51f38ccfa8b61,
Sabang wh,Jl. H Agus Salim - street food area,https://www.google.com/maps/place/Sabang+wh/data=!4m2!3m1!1s0x2e69f53442d6c807:0x49862c58e46fce3d,
Kopi Es Tak Kie,old Chinese coffee shop famous for its coffee and a dish named Nasi campur,https://www.google.com/maps/place/Kopi+Es+Tak+Kie/data=!4m2!3m1!1s0x2e69f606b234cd91:0x68389930566cbb81,
Pantjoran Tea House,Old Chinese tea house,https://www.google.com/maps/place/Pantjoran+Tea+House/data=!4m2!3m1!1s0x2e69f60699ba04a7:0xb7f2d64c6f50a7a9,
Glodok,Old Batavia / Chinatown,https://www.google.com/maps/place/Glodok/data=!4m2!3m1!1s0x2e69f60641dc0939:0xea69a046aa635dd5,
Kota Tua,,https://www.google.com/maps/place/Kota+Tua/data=!4m2!3m1!1s0x2e69f607534bb7c7:0x42eab7e4f2537065,
Mall Taman Anggrek,largest mall in Indonesia,https://www.google.com/maps/place/Mall+Taman+Anggrek/data=!4m2!3m1!1s0x2e69f6f50de17c9b:0xb287bf108f4ef441,
Jakarta Cathedral,,https://www.google.com/maps/place/Jakarta+Cathedral/data=!4m2!3m1!1s0x2e69f5cef86e21ad:0x3ecfda74692fc79,
Istiqlal Mosque,,https://www.google.com/maps/place/Istiqlal+Mosque/data=!4m2!3m1!1s0x2e69f5ce6cc278b3:0x92a90690b871304d,
Merdeka Palace,,https://www.google.com/maps/place/Merdeka+Palace/data=!4m2!3m1!1s0x2e69f51beef3a83d:0xf33dc651dadbb47d,
National Monument,,https://www.google.com/maps/place/National+Monument/data=!4m2!3m1!1s0x2e69f5d2e764b12d:0x3d2ad6e1e0e9bcc8,
