Title,Note,URL,Comment
Kanda Massage,really fucking good deep thai massage,https://www.google.com/maps/place/Kanda+Massage/data=!4m2!3m1!1s0x3054fe7e19005f59:0xb68759388b50d3eb,
Island Breeze ကျွန်းလေညှင်း,,https://www.google.com/maps/place/Island+Breeze+%E1%80%80%E1%80%BB%E1%80%BD%E1%80%94%E1%80%BA%E1%80%B8%E1%80%9C%E1%80%B1%E1%80%8A%E1%80%BE%E1%80%84%E1%80%BA%E1%80%B8/data=!4m2!3m1!1s0x3054fd002025e84f:0xaa37ee489aa48105,
Ko Ma Beach,one of the most beautiful beaches,https://www.google.com/maps/place/Ko+Ma+Beach/data=!4m2!3m1!1s0x3055011268c3daff:0xe2aa3a231d9c2a9b,
Hollystone,,https://www.google.com/maps/place/Hollystone/data=!4m2!3m1!1s0x3054fe01105665d1:0x78601202f2deebe2,
GUYS BAR,,https://www.google.com/maps/place/GUYS+BAR/data=!4m2!3m1!1s0x3054fd8a9b55ca1b:0x60bcb0ba237f7274,
Noppond Pharmacy,,https://www.google.com/maps/place/Noppond+Pharmacy/data=!4m2!3m1!1s0x3054fe7e3fff291b:0x9fc77c6df182d98d,
Jinna's Massage,,https://www.google.com/maps/place/Jinna's+Massage/data=!4m2!3m1!1s0x3054fe7e1334bea5:0x2c974db3122f3aed,
Sanya Massage,,https://www.google.com/maps/place/Sanya+Massage/data=!4m2!3m1!1s0x3054fe7fd2abde2b:0xdde0a0250e8229eb,
WILD WOOD Beach Fitness,,https://www.google.com/maps/place/WILD+WOOD+Beach+Fitness/data=!4m2!3m1!1s0x3054fd9f2d0728d9:0xada07cdf37130ec6,
Sabaii Bay Gym,,https://www.google.com/maps/place/Sabaii+Bay+Gym/data=!4m2!3m1!1s0x3054fd9a18b638ed:0xbe51e865b242ad19,
NASHE MESTO,,https://www.google.com/maps/place/NASHE+MESTO/data=!4m2!3m1!1s0x3054fd7530af81ed:0x2f6e2d3c0b60c7e1,
Sound Garden,electronic music,https://www.google.com/maps/place/Sound+Garden/data=!4m2!3m1!1s0x3054ff799a6d0cfd:0x911c8db252143e9c,
The Wanderlust Hostel,,https://www.google.com/maps/place/The+Wanderlust+Hostel/data=!4m2!3m1!1s0x3054fd44f32e9505:0x607b0ef9c36388ca,
Kuan Yin Temple (Chinese Temple),,https://www.google.com/maps/place/Kuan+Yin+Temple+(Chinese+Temple)/data=!4m2!3m1!1s0x305502119fb1e4d5:0xecad1899a711fd2b,
Koh Raham,,https://www.google.com/maps/place/Koh+Raham/data=!4m2!3m1!1s0x305501c41ddca029:0x821c1d2b7c826b64,
