Title,Note,URL,Comment
Trinity Alps,,https://www.google.com/maps/place/Trinity+Alps/data=!4m2!3m1!1s0x54d23b46bdae16ef:0xbe582398cdcb84f7,
Burney Falls,,https://www.google.com/maps/place/Burney+Falls/data=!4m2!3m1!1s0x54cda79191802799:0x605002b233078792,
Humboldt Redwoods State Park,,https://www.google.com/maps/place/Humboldt+Redwoods+State+Park/data=!4m2!3m1!1s0x54d463c73284e3b3:0x3716989f535a3fa,
Redwood National and State Parks,,https://www.google.com/maps/place/Redwood+National+and+State+Parks/data=!4m2!3m1!1s0x54d06636f5417fa5:0x36cf3266953b5f8e,
Glass Beach,,https://www.google.com/maps/place/Glass+Beach/data=!4m2!3m1!1s0x8080353c794b7fd1:0x88d3934aef840d2c,
Lassen Volcanic National Park,,https://www.google.com/maps/place/Lassen+Volcanic+National+Park/data=!4m2!3m1!1s0x809d5607c14138bf:0x8f34d8a77a666742,
Lava Beds National Monument,,https://www.google.com/maps/place/Lava+Beds+National+Monument/data=!4m2!3m1!1s0x54cea67ae59ba40d:0xd388a0ca3c885cfb,
Fern Canyon,,https://www.google.com/maps/place/Fern+Canyon/data=!4m2!3m1!1s0x54d10175fe7e5521:0x72ff3bae1b0a4ab9,
Mendocino,,https://www.google.com/maps/place/Mendocino/data=!4m2!3m1!1s0x8081b26b3c56eb33:0xd60f97f241c0b33b,
Secret Beach,,https://www.google.com/maps/place/Secret+Beach/data=!4m2!3m1!1s0x54dabc02bc36e833:0xf38c954c78c8104d,
Natural Bridges,,https://www.google.com/maps/place/Natural+Bridges/data=!4m2!3m1!1s0x54dabc1af1f96d77:0x3687968a5e4b70db,
Samuel H. Boardman State Scenic Corridor,,https://www.google.com/maps/place/Samuel+H.+Boardman+State+Scenic+Corridor/data=!4m2!3m1!1s0x54dabcf7e650e5b5:0x1049c3ce6d33edfe,
