Title,Note,URL,Comment
Kai Tod Fried Chicken,,https://www.google.com/maps/place/Kai+Tod+Fried+Chicken/data=!4m2!3m1!1s0x30da6d2121436a09:0x2ce78cfbc0031ec5,
Kong Gnam View point,,https://www.google.com/maps/place/Kong+Gnam+View+point/data=!4m2!3m1!1s0x30da7088f08733e1:0x6d4c2545dc086a6c,
Santichon Village,Chinese village. try fried shiitake mushrooms and steamed black chicken,https://www.google.com/maps/place/Santichon+Village/data=!4m2!3m1!1s0x30da81fe625cfae3:0x811eac3facc04080,
Sunset Bar,,https://www.google.com/maps/place/Sunset+Bar/data=!4m2!3m1!1s0x30da8036f4eb5665:0x633a0456e10bfe13,
Noodle Soup House Ban Jabo,bomb spicy tom yum with your feet dangling off the side of the wooden building floor,https://www.google.com/maps/place/Noodle+Soup+House+Ban+Jabo/data=!4m2!3m1!1s0x30d06d75c51dc0d7:0x260acd144735f6e8,
Doi Kiew Lom Viewpoint,,https://www.google.com/maps/place/Doi+Kiew+Lom+Viewpoint/data=!4m2!3m1!1s0x30d079dcd96b097f:0x42f9e8019fd02540,
POP SERVICE @Car Rent (Somphet),manual motorbikes,https://www.google.com/maps/place/POP+SERVICE+@Car+Rent+(Somphet)/data=!4m2!3m1!1s0x30da3aa326553b29:0xa906b2586aea8e8f,
Dekdoi Coffee Jabo,,https://www.google.com/maps/place/Dekdoi+Coffee+Jabo/data=!4m2!3m1!1s0x30d06df1bffc4c0d:0x6bf9a6d4c1d47896,
Nam Lod Cave,,https://www.google.com/maps/place/Nam+Lod+Cave/data=!4m2!3m1!1s0x30d06fd91af19d1d:0x6a19224c76e57e7a,
Wat Si Don Chai,,https://www.google.com/maps/place/Wat+Si+Don+Chai/data=!4m2!3m1!1s0x30d07f843ea9dfb5:0x1e7f74b49bbd9bd9,
Jaey Cafe,,https://www.google.com/maps/place/Jaey+Cafe/data=!4m2!3m1!1s0x30da83ef6e1f078b:0x36c539a05fd67793,
Pai Canyon,visit at sunset,https://www.google.com/maps/place/Pai+Canyon/data=!4m2!3m1!1s0x30da80e8f3eba0f9:0x83dbe124b195aec2,
Mo Pang Waterfall,,https://www.google.com/maps/place/Mo+Pang+Waterfall/data=!4m2!3m1!1s0x30d07f54991c2747:0x233a0a2ca702efe8,
