Title,Note,URL,Comment
Red Scooter Deli,lunch spot,https://www.google.com/maps/place/Red+Scooter+Deli/data=!4m2!3m1!1s0x80ecc5682367d135:0x18a39f68e87d6406,
1311 Chestnut St,Airbnb,https://www.google.com/maps/place/1311+Chestnut+St/data=!4m2!3m1!1s0x80ecc55ba5b7f63f:0x9990833173f48862,
CANE TiKi ROOM,,https://www.google.com/maps/place/CANE+TiKi+ROOM/data=!4m2!3m1!1s0x80ecc510287fbe87:0x5f198bb484980b67,
Jeffry's Wine Country BBQ,,https://www.google.com/maps/place/Jeffry's+Wine+Country+BBQ/data=!4m2!3m1!1s0x80ecc59d1a6035a9:0xfa44ff3929e1b13d,
Etto Pasta Bar,,https://www.google.com/maps/place/Etto+Pasta+Bar/data=!4m2!3m1!1s0x80ecc5b25077bf29:0xdd888fef7a075092,
Finca Paso Robles,,https://www.google.com/maps/place/Finca+Paso+Robles/data=!4m2!3m1!1s0x80ecc578743acd97:0x4008e1b5e39d1790,
AMSTRDM Coffee House | Piano Lounge,,https://www.google.com/maps/place/AMSTRDM+Coffee+House+%7C+Piano+Lounge/data=!4m2!3m1!1s0x80ecc5a78cfa4543:0x14a43f1908aadeac,
Spearhead Coffee,,https://www.google.com/maps/place/Spearhead+Coffee/data=!4m2!3m1!1s0x80ecc55d29fd3d31:0x4f38f5010093712f,
LXV Wine & Pairings Downtown Tasting Room,,https://www.google.com/maps/place/LXV+Wine+%26+Pairings+Downtown+Tasting+Room/data=!4m2!3m1!1s0x80ecc567f5e60a87:0xe46c3e7daead9e14,
Eberle Winery,,https://www.google.com/maps/place/Eberle+Winery/data=!4m2!3m1!1s0x80ecc5f97a6f3579:0x35a7624154c4c015,
Les Petites Canailles,,https://www.google.com/maps/place/Les+Petites+Canailles/data=!4m2!3m1!1s0x80ecc5a95a89bbc3:0x286b97816108aac6,
Il Cortile Ristorante,,https://www.google.com/maps/place/Il+Cortile+Ristorante/data=!4m2!3m1!1s0x80ecc55cd19abf37:0x1ed89fb5f819783b,
Aaron Wines,,https://www.google.com/maps/place/Aaron+Wines/data=!4m2!3m1!1s0x80ecdf8b390c4549:0x5be26b849cd0232c,
Cordant Winery,,https://www.google.com/maps/place/Cordant+Winery/data=!4m2!3m1!1s0x80ecc4b88a3216b7:0x65689a23f30b3ccb,
Tin City,bunch of tasting rooms in one place. also has a brewery and cider house,https://www.google.com/maps/place/Tin+City/data=!4m2!3m1!1s0x80ecc5478eb31b19:0xe0412eb9ef0e2f78,
Halter Ranch Vineyard,,https://www.google.com/maps/place/Halter+Ranch+Vineyard/data=!4m2!3m1!1s0x80ecd651170387d3:0xbc02342a7fe838fb,
Adelaida Vineyards,,https://www.google.com/maps/place/Adelaida+Vineyards/data=!4m2!3m1!1s0x80ecd1285952eea3:0xea01a5a9765c9f5e,
Denner Vineyards,,https://www.google.com/maps/place/Denner+Vineyards/data=!4m2!3m1!1s0x80ecda301b169aab:0x3979cfe3a8648aef,
