Title,Note,URL,Comment
Sekartaji Cliff Spot,,https://www.google.com/maps/place/Sekartaji+Cliff+Spot/data=!4m2!3m1!1s0x2dd27b7546e02c6f:0xebb164ee11c82e0a,
"Rumah Pohon ""Tree House""",,https://www.google.com/maps/place/Rumah+Pohon+%22Tree+House%22/data=!4m2!3m1!1s0x2dd27781f3667b2d:0x36c910620349fda8,
Atuh Beach,,https://www.google.com/maps/place/Atuh+Beach/data=!4m2!3m1!1s0x2dd2779b403c8185:0x25d68418b583cab3,
Tembeling Springs,,https://www.google.com/maps/place/Tembeling+Springs/data=!4m2!3m1!1s0x2dd271d3a3dc3ed5:0xac65e4abded76d14,
Banah Cliff Point,,https://www.google.com/maps/place/Banah+Cliff+Point/data=!4m2!3m1!1s0x2dd2703c9e92668b:0xebfda3dd934d2028,
Crystal Bay Nusa Penida,,https://www.google.com/maps/place/Crystal+Bay+Nusa+Penida/data=!4m2!3m1!1s0x2dd26e084c2a5fe3:0x4d4e5b852751c763,
Broken Beach,,https://www.google.com/maps/place/Broken+Beach/data=!4m2!3m1!1s0x2dd26fdf21a72dcb:0x2fdb3f30123947a5,
Angel Billabong,,https://www.google.com/maps/place/Angel+Billabong/data=!4m2!3m1!1s0x2dd26f817e9cb20b:0x168ba6d3daf31579,
LE kopi,,https://www.google.com/maps/place/LE+kopi/data=!4m2!3m1!1s0x2dd27375b55862d9:0x374be591c8320805,
Diamond Beach Nusa Penida,,https://www.google.com/maps/place/Diamond+Beach+Nusa+Penida/data=!4m2!3m1!1s0x2dd277161f77ae31:0xdad8747b0363d8d,
Kelingking Beach Nusa Penida,"go after 3pm, less crowded",https://www.google.com/maps/place/Kelingking+Beach+Nusa+Penida/data=!4m2!3m1!1s0x2dd26f1616cd2cc7:0xee84b7df0afbff19,
Horses of Gili,,https://www.google.com/maps/place/Horses+of+Gili/data=!4m2!3m1!1s0x2dcde0a6407e10cb:0x7f9029f6a26eb1e5,
Turtle Shore.,east side of island has sea turtles ,https://www.google.com/maps/place/Turtle+Shore./data=!4m2!3m1!1s0x2dcde0a7afcb2959:0x690de1b536950b6a,
Sade Village,,https://www.google.com/maps/place/Sade+Village/data=!4m2!3m1!1s0x2dcda9172d983baf:0xfa9eed5a2752a97c,
Mount Rinjani,,https://www.google.com/maps/place/Mount+Rinjani/data=!4m2!3m1!1s0x2dcc2d800216cccf:0x3c03cdbf11d30a1e,
Hotsprings Rinjani,,https://www.google.com/maps/place/Hotsprings+Rinjani/data=!4m2!3m1!1s0x2dcc2d4cbed01c37:0x1d14ed3f9595018d,
Trawangan Night Market,,"https://www.google.com/maps/search/-8.3548611,116.0430908",
Goa Giri Putri Temple,,https://www.google.com/maps/place/Goa+Giri+Putri+Temple/data=!4m2!3m1!1s0x2dd276a14dbda87f:0xc4a8a48f281af2f3,
Guyangan Waterfall Nusa Penida,,https://www.google.com/maps/place/Guyangan+Waterfall+Nusa+Penida/data=!4m2!3m1!1s0x2dd27a7f26d02f55:0x4ad0e821647ffbdc,
Seganing Waterfall,,"https://www.google.com/maps/search/-8.7609873,115.4868221",
Nusa Lembongan,,"https://www.google.com/maps/search/-8.6785666,115.4555798",
Gala-Gala Underground House,,https://www.google.com/maps/place/Gala-Gala+Underground+House/data=!4m2!3m1!1s0x2dd26db9b12f850f:0x17ba99afb66e97dc,
