Title,Note,URL,Comment
Red Planet Bangkok Asok,,https://www.google.com/maps/place/Red+Planet+Bangkok+Asok/data=!4m2!3m1!1s0x30e29ee250c0e583:0x22293178145fa0b2,
Health Land Spa & Massage Asoke,,https://www.google.com/maps/place/Health+Land+Spa+%26+Massage+Asoke/data=!4m2!3m1!1s0x30e29ee4f4503d37:0xbc69812590525a4c,
Healthy Massage Sukhumvit 19,,https://www.google.com/maps/place/Healthy+Massage+Sukhumvit+19/data=!4m2!3m1!1s0x4dba88cfc38cec7b:0x3e0bde8d41c54356,
Wanida Massage,,https://www.google.com/maps/place/Wanida+Massage/data=!4m2!3m1!1s0x30e29f8e2ba8465b:0xcd0f4501c9f3dc60,
Muang Ngoy,,https://www.google.com/maps/place/Muang+Ngoy/data=!4m2!3m1!1s0x312c292ef02df651:0x24a428ec91e91ba3,
Sapun Fried Chicken,,https://www.google.com/maps/place/Sapun+Fried+Chicken/data=!4m2!3m1!1s0x30da3a84dafb5dfd:0xd05d32263322dde7,
Lang Mor Night Market,,https://www.google.com/maps/place/Lang+Mor+Night+Market/data=!4m2!3m1!1s0x30da3a71e974aa7b:0x2bf903aad448eb24,
Mr. Mechanic Shop No.2,,https://www.google.com/maps/place/Mr.+Mechanic+Shop+No.2/data=!4m2!3m1!1s0x30da3a96802164b3:0x4fabedb393854575,
Warorot Market (Kad Luang),,https://www.google.com/maps/place/Warorot+Market+(Kad+Luang)/data=!4m2!3m1!1s0x30da3b3a2f7c7151:0x24c07f18fcb56c40,
Chiang Mai Provincial Police Region 5,,https://www.google.com/maps/place/Chiang+Mai+Provincial+Police+Region+5/data=!4m2!3m1!1s0x30da3aaf778aaf0b:0x73a8ec8f5cea6a40,
Ann Laundry Service,,https://www.google.com/maps/place/Ann+Laundry+Service/data=!4m2!3m1!1s0x30da3aa40c29ae8f:0xca61a4a7943a54d2,
Khun Kae's Juice Bar,,https://www.google.com/maps/place/Khun+Kae's+Juice+Bar/data=!4m2!3m1!1s0x30da3abd4dbf1451:0x4321a84925371b6,
Northlands Restaurant,,https://www.google.com/maps/place/Northlands+Restaurant/data=!4m2!3m1!1s0x30da3abd32129dd3:0xa76e1c14b2aee908,
