Title,Note,URL,Comment
Windsor at Dogpatch,,https://www.google.com/maps/place/Windsor+at+Dogpatch/data=!4m2!3m1!1s0x808f7fba5ceb52ef:0x28dfa93c1fe36937,
370 7th St,,https://www.google.com/maps/place/370+7th+St/data=!4m2!3m1!1s0x808f7e2a01ae4b1b:0x68146be54e8dff09,
One Henry Adams Apartments,,https://www.google.com/maps/place/One+Henry+Adams+Apartments/data=!4m2!3m1!1s0x808f7e2d1c7cbd8d:0x79af7806eac65471,
49 Zoe St,,https://www.google.com/maps/place/49+Zoe+St/data=!4m2!3m1!1s0x8085807f4c38f81d:0xe2aeef3a79d5bd46,
SoMa Square Apartments,,https://www.google.com/maps/place/SoMa+Square+Apartments/data=!4m2!3m1!1s0x8085807e9c91004b:0x37a1a61accd4be1f,
Strata at Mission Bay Apartments,,https://www.google.com/maps/place/Strata+at+Mission+Bay+Apartments/data=!4m2!3m1!1s0x808f7fd06bdff96f:0x58c408730be9c5b9,
821 Folsom St,,https://www.google.com/maps/place/821+Folsom+St/data=!4m2!3m1!1s0x8085807e1e25dc69:0x45c7df5241434a05,
870 Harrison St,,https://www.google.com/maps/place/870+Harrison+St/data=!4m2!3m1!1s0x8085807fd5e2f55f:0xa4cf8361619209bd,
855 Brannan St,,https://www.google.com/maps/place/855+Brannan+St/data=!4m2!3m1!1s0x808f7e2b7d6381c7:0xec4be0e417c4ed48,
Avalon at Mission Bay,,https://www.google.com/maps/place/Avalon+at+Mission+Bay/data=!4m2!3m1!1s0x808f7fd6dd702f27:0xb55a40a334590773,
829 Folsom St,,https://www.google.com/maps/place/829+Folsom+St/data=!4m2!3m1!1s0x80858080a1c30fc1:0x7213603f2ca12df8,
Potrero 1010 Apartments,,https://www.google.com/maps/place/Potrero+1010+Apartments/data=!4m2!3m1!1s0x808f7fcc497edea1:0x3656b4c67dae9ee0,
