Title,Note,URL,Comment
Doi Nok Pagoda,nice views ,https://www.google.com/maps/place/Doi+Nok+Pagoda/data=!4m2!3m1!1s0x30da44ee8e6ebf9b:0xa6aa43c5086bd870,
The Canopy Walks,,https://www.google.com/maps/place/The+Canopy+Walks/data=!4m2!3m1!1s0x30da3f371b17cf19:0x9dd247b72b58b006,
Mae Sap Cave,,https://www.google.com/maps/place/Mae+Sap+Cave/data=!4m2!3m1!1s0x30da445cee064f47:0xa19629bc0404c6e2,
Mon Jam,,https://www.google.com/maps/place/Mon+Jam/data=!4m2!3m1!1s0x30da406380ac6161:0xabb0ec025d7e8299,
Max Wine & Coffee on the Hill,,https://www.google.com/maps/place/Max+Wine+%26+Coffee+on+the+Hill/data=!4m2!3m1!1s0x30da37feb4935529:0xa9bf17f48c818d7c,
Bannok Coffee Roasters,,https://www.google.com/maps/place/Bannok+Coffee+Roasters/data=!4m2!3m1!1s0x30da36e287eb08c7:0x262feb54f9966d4a,
Elefin Farm & Cafe เอเลฟิน ฟาร์ม แอนด์ คาเฟ่,,https://www.google.com/maps/place/Elefin+Farm+%26+Cafe+%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%9F%E0%B8%B4%E0%B8%99+%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1+%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C+%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88/data=!4m2!3m1!1s0x30da47bad9548f29:0x329297a20cb57d8f,
Samoeng Viewpoint,,https://www.google.com/maps/place/Samoeng+Viewpoint/data=!4m2!3m1!1s0x30da46daae40ffdf:0xe08c313ca2cb90c1,
Queen Sirikit Botanic Garden,,https://www.google.com/maps/place/Queen+Sirikit+Botanic+Garden/data=!4m2!3m1!1s0x30da3f36a0c5d5d3:0xa5238f23f6213c2f,
River Rock Cafe Hill,waterfall similar to Mae Sa but better with coffee,https://www.google.com/maps/place/River+Rock+Cafe+Hill/data=!4m2!3m1!1s0x30da3fcb0e5ff9fd:0xfff6a069631acb02,
Fleur Cafe & Eatery,,https://www.google.com/maps/place/Fleur+Cafe+%26+Eatery/data=!4m2!3m1!1s0x30da3fffc122829b:0xf53c297e54076946,
อาหารนํ้าตกแม่สาป้าต้อย Mae Sa Waterfall Food and Drink,,https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B9%8D%E0%B9%89%E0%B8%B2%E0%B8%95%E0%B8%81%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B8%B2%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%A2+Mae+Sa+Waterfall+Food+and+Drink/data=!4m2!3m1!1s0x30da3f31b3cbc37d:0x3990736c1694e303,
WHY Coffee and Bar,,https://www.google.com/maps/place/WHY+Coffee+and+Bar/data=!4m2!3m1!1s0x30da3fa105e35f2f:0x587b8d698eb26cac,
