Title,Note,URL,Comment
Sunset views of mountains,,https://www.google.com/maps/place/Sunset+views+of+mountains/data=!4m2!3m1!1s0x3125933ee6cb5731:0xf5a1e6cd77190b6d,
Wat Pho Karm Chai Mong Kol,,https://www.google.com/maps/place/Wat+Pho+Karm+Chai+Mong+Kol/data=!4m2!3m1!1s0x3125f4c88eeaa383:0xffa4e4cf6d919e01,
จุดจอดรถผาหนามไซ,Nam Xay parking lot,https://www.google.com/maps/place/%E0%B8%88%E0%B8%B8%E0%B8%94%E0%B8%88%E0%B8%AD%E0%B8%94%E0%B8%A3%E0%B8%96%E0%B8%9C%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B9%84%E0%B8%8B/data=!4m2!3m1!1s0x3125ed6e1f2979d7:0x9379e829466570c4,
Mr. Ta Motorbike Rental,,https://www.google.com/maps/place/Mr.+Ta+Motorbike+Rental/data=!4m2!3m1!1s0x312593396380de2f:0xad87ffa1e2c39838,
Blue Lagoon 3,,https://www.google.com/maps/place/Blue+Lagoon+3/data=!4m2!3m1!1s0x3125ef43b964f507:0x89bd32f7243924f3,
"ຂົວສີຟ້າ, ວັງວຽງ Namsong Blue Bridge",,"https://www.google.com/maps/place/%E0%BA%82%E0%BA%BB%E0%BA%A7%E0%BA%AA%E0%BA%B5%E0%BA%9F%E0%BB%89%E0%BA%B2,+%E0%BA%A7%E0%BA%B1%E0%BA%87%E0%BA%A7%E0%BA%BD%E0%BA%87+Namsong+Blue+Bridge/data=!4m2!3m1!1s0x3125ed2625087a2b:0x9e8a26997b67c1a1",
Phapoungkham cave and viewpoint,,https://www.google.com/maps/place/Phapoungkham+cave+and+viewpoint/data=!4m2!3m1!1s0x3125edbb6b9e0e13:0x20e8f4904b3c369a,
Pha Ngern View Point,,https://www.google.com/maps/place/Pha+Ngern+View+Point/data=!4m2!3m1!1s0x3125ed1f3b44e805:0xbbade02c015659e6,
SAKURA BAR,,https://www.google.com/maps/place/SAKURA+BAR/data=!4m2!3m1!1s0x312592cf681de549:0x916b66c4e4e51c09,
Phapoak Mountain,,https://www.google.com/maps/place/Phapoak+Mountain/data=!4m2!3m1!1s0x312593ac2b11bbcb:0x23f5ac5aefa9c612,
Wat That,,https://www.google.com/maps/place/Wat+That/data=!4m2!3m1!1s0x312592c87e2671a1:0x8e8ce310e4b9e42c,
Ban Pha Tang,,https://www.google.com/maps/place/Ban+Pha+Tang/data=!4m2!3m1!1s0x3125f4c65e6aeaaf:0x3cccb2a6ed0305a9,
Organic Farm Restaurant & Guesthouse,,https://www.google.com/maps/place/Organic+Farm+Restaurant+%26+Guesthouse/data=!4m2!3m1!1s0x31258d56aec843a5:0x9da71cb5c9aa34f6,
Tham Chang,,https://www.google.com/maps/place/Tham+Chang/data=!4m2!3m1!1s0x312592d5f26479ff:0x7cfb954a15e1b247,
Blue Lagoon 1 and Phu Kham Cave Vang Vieng,,https://www.google.com/maps/place/Blue+Lagoon+1+and+Phu+Kham+Cave+Vang+Vieng/data=!4m2!3m1!1s0x3125ed08fb9bee9f:0x7e1af95489eccabc,
Nam Xay Viewpoint,,https://www.google.com/maps/place/Nam+Xay+Viewpoint/data=!4m2!3m1!1s0x3125eda2df94820b:0xe64ae2d4c26c371c,
nana backpacker vang vieng,,https://www.google.com/maps/place/nana+backpacker+vang+vieng/data=!4m2!3m1!1s0x312592cfec0f2663:0x8a11326f10cece5a,
Lao Valhalla Bungalows & Restaurant,,https://www.google.com/maps/place/Lao+Valhalla+Bungalows+%26+Restaurant/data=!4m2!3m1!1s0x3125ed2dc3e33e73:0xfa1a69d6f0773f0a,
