Title,Note,URL,Comment
Banyu Mili Resto,traditional seafood restaurant with floor seating ,https://www.google.com/maps/place/Banyu+Mili+Resto/data=!4m2!3m1!1s0x2e7a58168239ab33:0x90db373e98c46e0e,
The House of Raminten,"owned by local tycoon, traditional foods",https://www.google.com/maps/place/The+House+of+Raminten/data=!4m2!3m1!1s0x2e7a5831e4074603:0xbf9157808e91c603,
Lupis Mbah Satinem,traditional snacks,https://www.google.com/maps/place/Lupis+Mbah+Satinem/data=!4m2!3m1!1s0x2e7a583bac7a592f:0xba74f7260bd2e1e1,
Bu Narti Super Spicy Meal,oseng mercon - firecracker stir-fry,https://www.google.com/maps/place/Bu+Narti+Super+Spicy+Meal/data=!4m2!3m1!1s0x2e7a577b7fe84623:0xbdcb4d1099f1050,
Ronde Kauman Mbah Payem,wedang ronde - warm ginger drink with peanut-filled balls of glutinous rice,https://www.google.com/maps/place/Ronde+Kauman+Mbah+Payem/data=!4m2!3m1!1s0x2e7a578e7854e65b:0xe645fa21129253c8,
Lumpia Samijaya,lumpia,https://www.google.com/maps/place/Lumpia+Samijaya/data=!4m2!3m1!1s0x2e7a582830d86139:0xe9f277b05950ed89,
Angkringan Kopi Jos Lik Man,charcoal coffee,https://www.google.com/maps/place/Angkringan+Kopi+Jos+Lik+Man/data=!4m2!3m1!1s0x2e7a58258545add9:0x92ce1fde42439ef9,
Bale Raos - The Sultan's Dishes,,https://www.google.com/maps/place/Bale+Raos+-+The+Sultan's+Dishes/data=!4m2!3m1!1s0x2e7a578d61c24d1f:0x49bde399ebde344c,
Space Coffee Roastery,,https://www.google.com/maps/place/Space+Coffee+Roastery/data=!4m2!3m1!1s0x2e7a584335baa0b5:0x92012d15e3dd6d9f,
Warung Kopi Klotok,"traditional Indonesian coffee, fried banana",https://www.google.com/maps/place/Warung+Kopi+Klotok/data=!4m2!3m1!1s0x2e7a5e80a3df1d61:0x3c02536343f1185c,
Ramayana Ballet Prambanan,nightly shows,https://www.google.com/maps/place/Ramayana+Ballet+Prambanan/data=!4m2!3m1!1s0x2e7a5ae3091a1081:0x42d3e57612b8cf42,
Bukit Rhema Gereja Ayam,chicken church,https://www.google.com/maps/place/Bukit+Rhema+Gereja+Ayam/data=!4m2!3m1!1s0x2e7a8d0411951787:0x24751ba0cf5dde6b,
Jomblang Cave,,https://www.google.com/maps/place/Jomblang+Cave/data=!4m2!3m1!1s0x2e7bb41fce34d717:0xf9ffcb6f9fbd5cce,
Kebun Teh Nglinggo,tea plantation ,https://www.google.com/maps/place/Kebun+Teh+Nglinggo/data=!4m2!3m1!1s0x2e7af2aa21b914df:0x99633b0e828534dc,
Mount Merapi,Jeep tours,https://www.google.com/maps/place/Mount+Merapi/data=!4m2!3m1!1s0x2e7a641ec0ff2fa5:0xe92612624cad8800,
Pasthy Love Bird Market Yogyakarta,,https://www.google.com/maps/place/Pasthy+Love+Bird+Market+Yogyakarta/data=!4m2!3m1!1s0x2e7a57b87f1b651d:0x7367b657b6fa6d4a,
Pasar Beringharjo,,https://www.google.com/maps/place/Pasar+Beringharjo/data=!4m2!3m1!1s0x2e7af7fe02ca3761:0x39ebbc4df90b410c,
Jl. Prawirotaman,hipster / artsy area,https://www.google.com/maps/place/Jl.+Prawirotaman/data=!4m2!3m1!1s0x2e7a57a3b3a61435:0x774108c3c95d17b9,
Klinik Kopi,,https://www.google.com/maps/place/Klinik+Kopi/data=!4m2!3m1!1s0x2e7a5916ccfd34f3:0x864de6e7288bfc5d,
Bukit Panguk Kediwung,,https://www.google.com/maps/place/Bukit+Panguk+Kediwung/data=!4m2!3m1!1s0x2e7bacb24995d023:0x95aec26c5e9774a2,
Becici Peak,,https://www.google.com/maps/place/Becici+Peak/data=!4m2!3m1!1s0x2e7a531aaaaaaaab:0x6c28149b91ea59f4,
Alun Alun Kidul,"night/weekend, bling-bling cars",https://www.google.com/maps/place/Alun+Alun+Kidul/data=!4m2!3m1!1s0x2e7a5796d3ee690f:0x50562263d6351120,
PRAMBANAN Temple,,https://www.google.com/maps/place/PRAMBANAN+Temple/data=!4m2!3m1!1s0x2e7a5ae3dbd859d1:0x19e7a03b25955a2d,
Borobudur Temple,sunrise,https://www.google.com/maps/place/Borobudur+Temple/data=!4m2!3m1!1s0x2e7a8cf009a7d697:0xdd34334744dc3cb,
Taman Sari,water castle,https://www.google.com/maps/place/Taman+Sari/data=!4m2!3m1!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13,
Bakso Klenger Ratu Sari (Meatball),giant Bakso (meatball),https://www.google.com/maps/place/Bakso+Klenger+Ratu+Sari+(Meatball)/data=!4m2!3m1!1s0x2e7a59c228c99057:0xeb233d5535e1d4ce,
The Palace of Yogyakarta,,https://www.google.com/maps/place/The+Palace+of+Yogyakarta/data=!4m2!3m1!1s0x2e7a5796db06c7ef:0x395271cf052b276c,
Jl. Malioboro,,https://www.google.com/maps/place/Jl.+Malioboro/data=!4m2!3m1!1s0x2e7a5825fa6106c5:0x3ea4c521a5ed1133,
